epoch,loss,lr,mae,mape,val_loss,val_mae,val_mape
0,0.8207893967628479,0.001,1.2258317470550537,15440.8740234375,0.09147031605243683,0.343076229095459,1366034.625
1,0.7720128893852234,0.001,1.1892681121826172,19837.974609375,0.049063265323638916,0.23474816977977753,225731.5
2,0.6678008437156677,0.001,1.076560139656067,13229.17578125,0.029630769044160843,0.21099701523780823,4449315.5
3,0.6106797456741333,0.001,1.0008682012557983,18671.662109375,0.029427185654640198,0.21281234920024872,5005761.0
4,0.5295275449752808,0.001,0.9036952257156372,8299.7568359375,0.027965350076556206,0.20765158534049988,5492757.5
5,0.49858519434928894,0.001,0.8779957890510559,15606.4853515625,0.028026439249515533,0.20372116565704346,4665467.5
6,0.4954426884651184,0.001,0.8763546347618103,12268.6884765625,0.02898339554667473,0.19426044821739197,2721156.75
7,0.49240800738334656,0.001,0.8662344813346863,11182.8916015625,0.04087173938751221,0.21654853224754333,1466299.125
8,0.4173188805580139,0.001,0.7864917516708374,10399.720703125,0.04256850481033325,0.21686336398124695,1291709.75
9,0.379108726978302,0.001,0.7408682703971863,6378.8291015625,0.04227297753095627,0.21554195880889893,1192347.125
10,0.41303393244743347,0.001,0.7899829149246216,13302.169921875,0.03663979098200798,0.2055647075176239,1656038.75
11,0.357378751039505,0.001,0.7108821868896484,6846.603515625,0.028261544182896614,0.2053685188293457,3402928.75
12,0.3366556465625763,0.001,0.6831237077713013,7880.59375,0.026608765125274658,0.1997470259666443,3367218.25
13,0.31638094782829285,0.001,0.679628312587738,14813.4150390625,0.026595773175358772,0.18236218392848969,2403615.5
14,0.3213701546192169,0.001,0.6813948750495911,9109.3544921875,0.02364862710237503,0.16152578592300415,85703.0546875
15,0.31769391894340515,0.001,0.6533954739570618,6488.595703125,0.01822943240404129,0.15366479754447937,1201942.375
16,0.2667763829231262,0.001,0.6097573041915894,8933.24609375,0.026055913418531418,0.20685246586799622,4489063.5
17,0.25503045320510864,0.001,0.5909632444381714,13929.0927734375,0.04081352800130844,0.2587662637233734,6014665.5
